ax,ay,az,gx,gy,gz,heel,toe
-0.9975,0.1235,0.7388,122.0800,113.1200,-88.6900,26,8
-1.0736,0.1074,0.7730,177.9400,52.7800,-107.4500,21,8
-0.9692,0.2865,0.5963,212.1000,-17.0100,-159.1100,13,5
-0.6944,0.0693,0.4807,222.4600,-66.1500,-228.0600,15,7
-0.8818,0.1684,0.4982,248.3600,-88.3400,-250.5300,9,9
-0.7515,-0.0293,0.4231,249.4800,-58.9400,-185.5700,15,0
-0.7954,-0.1118,0.4656,274.1900,-60.0600,-167.0200,19,11
-0.7671,-0.3138,0.5885,286.0200,-73.0100,-210.2800,13,2
-0.6895,-0.2430,0.6383,287.9100,-80.1500,-254.5900,20,4
-0.6515,0.0054,0.6637,272.5100,-77.9100,-269.6400,16,5
-0.6212,0.1586,0.6334,260.1200,-57.4700,-250.1800,11,2
-0.5358,0.3655,0.6739,204.6800,-37.1000,-178.0800,14,6
-0.4953,0.3079,0.6398,138.7400,3.6400,-105.8400,9,8
0.4929,0.5290,1.1434,300.3000,-98.5600,-110.5300,8,4
-0.5949,-1.0594,0.7701,-195.5800,-86.2400,-16.0300,15,3
-0.4670,-0.3816,0.9116,-22.1200,-32.4100,21.4200,64,3
-0.5719,0.1845,0.8838,15.0500,-10.9200,25.3400,111,7
-0.6046,0.2499,0.8130,-2.1700,-20.5100,7.2100,143,0
-0.5475,0.0420,0.8662,-26.3200,-30.2400,0.4200,184,5
-0.4821,-0.0029,0.9457,-11.2700,-15.4000,2.7300,234,4
-0.4797,0.0551,0.9213,0.7700,4.2700,6.0900,288,8
-0.5144,0.0927,0.8965,6.7200,12.8100,3.0800,336,0
-0.5192,0.0722,0.9048,6.4400,20.5800,0.8400,380,3
-0.5368,0.0595,0.8799,9.3800,30.3800,2.7300,447,7
-0.5729,0.0898,0.8506,8.6100,34.2300,1.1200,498,7
-0.6007,0.0991,0.8281,3.1500,34.7200,-4.1300,548,0
-0.6041,0.0815,0.8218,1.3300,36.1200,-5.3200,594,8
-0.6320,0.0639,0.7940,6.8600,37.5900,-1.3300,627,10
-0.6437,0.0771,0.7793,7.2800,39.4800,0.8400,646,8
-0.6651,0.0844,0.7720,8.0500,42.0000,3.9900,678,8
-0.6515,0.0849,0.7774,9.9400,50.6100,3.3600,685,5
-0.6339,0.0625,0.8281,10.2900,68.6000,7.4900,683,8
-0.6437,0.0088,0.8125,21.0000,101.5700,16.1000,626,8
-0.5900,0.0317,0.8979,52.6400,151.4800,27.7200,414,7
-0.6871,-0.3070,0.9228,82.4600,229.3200,75.2500,176,9
-1.4977,-0.5827,0.9575,212.3800,238.8400,158.2000,7,8
-2.1716,-0.0127,0.6383,517.9300,136.7800,172.8300,13,7
-0.8877,1.4323,1.3976,375.6200,-49.9800,-81.2700,7,8
-0.2723,-1.1263,0.8467,306.3900,-216.3700,-282.1000,20,7
-0.3172,0.6603,0.8564,162.2600,-204.7500,-229.8100,7,5
-0.1728,0.0429,0.8574,74.4800,-201.1800,-128.8000,12,10
