ax,ay,az,gx,gy,gz,toe,heel
-0.3465,0.4499,1.3522,-18.2,152.04,-8.96,785,16
-0.3289,0.3802,1.1063,-53.48,285.25,-54.39,762,9
-1.3357,0.122,0.753,-88.55,338.45,-73.15,236,15
-1.3884,0.0205,0.7291,-35.56,307.65,-43.26,19,24
-2.2599,0.0034,0.917,-31.01,203.77,-42,13,18
-0.8764,-0.042,1.2449,-62.16,140.07,-27.09,9,16
-0.1869,0.5022,2.0018,21.49,9.87,-53.27,6,16
-0.4416,0.4616,2.3668,109.76,-82.6,-40.67,13,12
0.042,1.363,1.3601,45.36,-186.41,-2.38,16,11
-0.7715,0.7164,1.3435,84.77,-203.98,55.16,13,9
-0.792,0.4329,1.0629,41.65,-261.45,60.55,20,7
-1.0238,0.448,1.0082,83.23,-307.72,77.42,10,14
-1.4596,0.7652,1.077,93.94,-330.68,106.12,5,7
-1.5894,-0.0761,0.9023,69.3,-290.43,223.72,6,9
-2.5513,-0.2089,0.4416,91.98,-229.53,204.96,6,16
-2.3907,-0.9106,-1.0716,32.9,-119.56,65.38,9,16
-2.5,-0.9819,-1.8139,-77.42,79.38,34.23,5,9
-1.0155,-2.6757,0.5739,-117.25,380.8,-111.23,12,809
-2.8348,1.5401,1.1936,-73.99,135.03,-93.45,0,903
-0.4714,0.8125,0.8184,-11.55,32.27,-48.51,333,486
-0.6515,0.1357,0.9194,-10.57,33.32,-18.41,662,16
-0.6476,0.1215,1.0975,12.88,72.73,-9.03,793,10
-0.1337,0.2255,1.2434,9.87,184.87,-26.88,830,14
-0.3001,0.2713,0.8628,-52.57,286.65,-60.34,696,14
-1.4376,0.002,0.8047,-111.23,303.59,-76.58,133,21
-1.4328,0.0063,0.6417,-40.18,285.74,-57.82,20,20
-1.4123,0.1342,0.8623,-47.74,193.48,-56.91,14,20
-0.5856,-0.0737,1.6646,-37.87,146.58,-26.95,16,19
-0.1801,0.8291,2.1238,8.68,27.86,-43.47,14,14
-0.5134,0.954,1.9959,29.75,-91.63,-1.68,13,10
-0.5758,0.3767,1.4713,95.97,-189.42,48.02,18,9
-0.6134,0.4421,1.0443,70.42,-239.33,30.45,21,12
-0.773,0.364,0.9301,83.51,-285.32,24.15,13,11
-1.1019,0.5285,0.9589,114.45,-318.15,81.13,8,15
-1.384,0.5085,1.079,121.8,-318.36,151.69,12,12
-1.872,-0.2601,0.8398,69.58,-303.94,246.89,6,5
-2.5078,-0.6163,0.205,89.11,-225.4,178.92,9,14
-2.2028,-1.0624,-1.1341,17.01,-87.15,46.48,7,7
-3.6576,-1.3664,-1.3381,-284.27,127.82,-1.19,7,77
-4.9493,1.1883,3.7239,164.99,359.94,-200.27,7,982
-1.0751,-2.0935,0.9004,-375.97,33.53,-30.1,25,787
-0.5851,-0.2508,0.913,-111.51,29.12,-29.89,431,373
-0.6656,0.0303,0.8847,-20.72,27.09,-14.56,648,23
-0.5056,0.2245,1.1824,3.36,78.61,-5.53,767,13
-0.184,0.2245,1.3166,-5.88,217.7,-27.37,801,9
-0.5617,0.3226,0.812,-46.69,327.18,-58.17,600,16
-1.6236,0.0283,0.8564,-92.54,304.29,-62.58,87,16
